"country","year","hom","ineq","unemp","edu","gdp","polic","tertiary","second","unemployment_low","unemployment_medium","unemployment_high","unsent"
"El Salvador",2005,64.3892059326171,49.7000007629394,7.21999979019165,9,2437.89965820312,279.640014648437,23.07594,73.95823,0,1,0,28.2475051879883
"El Salvador",2006,64.8396606445312,46.099998474121,6.77370023727416,9,2641.78076171875,280.470001220703,23.32439,71.22297,0,1,0,31.4535236358643
"El Salvador",2007,57.4835929870605,46.7999992370605,6.32740020751953,9,2796.38696289062,287.779998779296,24.41747,70.335,0,1,0,36.8220748901367
"El Salvador",2008,52.0268974304199,46.599998474121,5.8811445236206,9,2943.69897460937,293.640014648437,25.24597,70.67717,0,1,0,35.8938140869141
"El Salvador",2009,71.3997573852539,48.099998474121,7.32999992370605,9,2867.98510742187,323.029998779296,25.73622,72.45758,0,1,0,34.6092948913574
"El Salvador",2010,64.6754531860351,46.7999992370605,4.89319992065429,9,2992.54516601562,341.010009765625,26.24023,78.01165,1,0,0,34.218635559082
"El Salvador",2011,70.5847015380859,42.4000015258789,4.31899976730346,9,3275.50854492187,352.660003662109,27.31202,81.34929,1,0,0,29.0810890197754
"El Salvador",2012,41.6958274841308,41.7999992370605,3.84629988670349,9,3437.599609375,356.410003662109,28.14316,83.07065,1,0,0,27.1958560943604
"El Salvador",2013,40.2030029296875,43.5,3.69261193275451,12,3515.947265625,365.739990234375,28.46999,81.04637,1,0,0,22.3852806091309
"El Salvador",2014,62.4244880676269,43.7999992370605,4.16399765014648,12,3595.79077148437,376.489990234375,27.98066,81.11414,1,0,0,20.4171676635742
"El Salvador",2015,105.441947937011,40.599998474121,3.99991250038146,12,3669.87890625,376.929992675781,28.08398,83.45661,1,0,0,26.8800735473633
"Estonia",2003,10.7071914672851,37.2000007629394,10.3000001907348,9,7174.2373046875,258.799987792968,64.39908,102.191,0,0,1,29.6110153198242
"Estonia",2004,6.67368268966674,33.599998474121,10.1000003814697,9,8850.46484375,258.149993896484,66.18384,100.2816,0,0,1,24.0087623596191
"Estonia",2005,8.33549690246582,33.4000015258789,8,9,10338.3134765625,251.690002441406,67.9128,104.53211,0,1,0,23.2199554443359
"Estonia",2006,6.74425268173217,33.7000007629394,5.90000009536743,9,12595.4111328125,239.960006713867,67.86591,107.08501,0,1,0,24.2459392547607
"Estonia",2007,7.14247465133666,31.2000007629394,4.59999990463256,9,16586.404296875,241.619995117187,67.67806,105.36085,1,0,0,26.5046291351318
"Estonia",2008,6.41929006576538,31.8999996185302,5.5,9,18094.548828125,240.160003662109,66.45415,103.63669,1,0,0,27.0787754058838
"Estonia",2009,5.24018764495849,31.3999996185302,13.5,9,14726.318359375,238.25,66.6514,98.96514,0,0,1,23.5161743164062
"Estonia",2010,5.25485277175903,32,16.7000007629394,9,14638.6044921875,341.720001220703,68.20002,97.6741,0,0,1,21.9274978637695
"Estonia",2011,4.89292383193969,32.5,12.3000001907348,9,17454.84375,337.630004882812,70.36909,97.51713,0,0,1,22.705883026123
"Estonia",2012,4.75495386123657,32.9000015258789,10,9,17421.890625,334.130004882812,72.33171,100.64643,0,0,1,22.9458293914795
"Estonia",2013,3.93474388122558,35.099998474121,8.60000038146972,9,19072.23828125,319.679992675781,73.8143,104.69173,0,0,1,21.979434967041
"Estonia",2014,3.10992670059204,34.599998474121,7.40000009536743,9,19949.58203125,310.670013427734,73.15848,105.08114,0,1,0,23.5003299713135
"Estonia",2015,3.19313693046569,32.7000007629394,6.19999980926513,9,17155.875,298.350006103515,72.0489599999999,107.24651,0,1,0,24.760892868042
"Finland",2003,1.9704988002777,28,9,9,32816.16015625,158.960006713867,86.94398,104.7283,0,0,1,13.1282615661621
"Finland",2004,2.82325029373168,26.7999992370605,8.80000019073486,9,37636.11328125,157.720001220703,89.51694,104.26986,0,0,1,13.3369331359863
"Finland",2005,2.26281905174255,28.1000003814697,8.39999961853027,9,38969.171875,157,91.67925,103.39868,0,1,0,13.3436765670776
"Finland",2006,2.25482559204101,28.1000003814697,7.69999980926513,9,41120.67578125,157.820007324218,93.15745,101.63728,0,1,0,11.3996362686157
"Finland",2007,2.43487453460693,28.2999992370605,6.90000009536743,9,48288.55078125,154.199996948242,93.75849,99.87588,0,1,0,13.8206901550293
"Finland",2008,2.50004601478576,27.8999996185302,6.40000009536743,9,53401.31640625,153.33999633789,94.6909699999999,98.11404,0,1,0,16.2322959899902
"Finland",2009,2.24607801437377,27.8999996185302,8.19999980926513,9,47107.15625,154.440002441406,91.29122,96.3522,0,1,0,15.9933137893677
"Finland",2010,2.21775698661804,27.7000007629394,8.39999961853027,9,46202.4140625,150.940002441406,93.44925,97.75503,0,1,0,16.8846607208252
"Finland",2011,2.0411033630371,27.6000003814697,7.80000019073486,9,50790.72265625,150.509994506835,94.92139,98.72907,0,1,0,17.900857925415
"Finland",2012,1.62572193145751,27.1000003814697,7.69999980926513,9,47415.55859375,147.050003051757,92.88908,97.88605,0,1,0,19.0865097045898
"Finland",2013,1.63704776763916,27.2000007629394,8.19999980926513,9,49638.078125,140.83999633789,91.00518,98.67536,0,1,0,16.8133544921875
