,Country,Year,Homicide,Inequality,Compulsory education duration (years),GDP per capita (constant 2010 US$),Lower secondary completion rate total (% of relevant age group),Research and development expenditure (% of GDP),School enrollment tertiary (% gross),Unemployment total (% of total labor force) (national estimate),Urban population (% of total population),Unsentenced,Police personel
89,Chile,2017,4.217550913,0.45399999999999996,12.0,14741.1925,93.81433105,0.35518,88.4644165,6.9600000379999996,87.49,26.746133807499998,510.98
90,Colombia,2003,56.70396437,0.5489999999999999,10.0,5031.4922799999995,70.80351257,0.15602,28.136629100000004,13.22000027,75.211,42.38643265,135.24
91,Colombia,2004,48.03218599,0.5539999999999999,10.0,5225.245253,70.80351257,0.15353,28.136629100000004,12.73999977,75.62,42.35666275,146.68
92,Colombia,2005,42.46650308,0.55,10.0,5404.122236,75.85192871,0.15131,30.69215965,11.06000042,76.024,38.52967834,923.9
93,Colombia,2006,40.459804299999995,0.552,10.0,5693.264528,78.21257019,0.1499,32.69947815,11.28999996,76.423,32.24371338,237.84
94,Colombia,2007,39.32093805,0.5707,10.0,6002.33107,80.22670746,0.18498,33.74993896,10.25,76.816,34.877285,319.22
95,Colombia,2008,36.47047839,0.5720000000000001,10.0,6126.926503,82.616539,0.20164,36.07695007,10.48999977,77.204,34.37459946,345.97
96,Colombia,2009,35.34520875,0.557,10.0,6128.195589,89.43965149,0.196,37.51898956,11.28999996,77.587,32.33103561,239.57
97,Colombia,2010,34.18416048,0.56,10.0,6336.709474,92.50737,0.19532,39.41331863,10.97999954,77.964,30.69016075,465.67
98,Colombia,2011,35.31762993,0.5489999999999999,10.0,6711.668052,91.24649811,0.20625,43.03231049,10.10999966,78.335,27.19734001,207.19
99,Colombia,2012,35.68039662,0.539,10.0,6911.761191,88.20768738,0.23399999999999999,45.30730057,9.739999771,78.70100000000001,30.35632706,381.99
100,Colombia,2013,33.16235475,0.54,10.0,7201.006087000001,74.16750336,0.27128,48.73310852,9.050000191,79.061,30.86843491,459.58
101,Colombia,2014,28.40888163,0.54,10.0,7449.325237000001,74.94326019,0.30563,51.41638184,8.569999695,79.415,33.52930069,420.78499999999997
102,Colombia,2015,26.89777061,0.524,12.0,7580.275712999999,74.64495087,0.28975,53.28213882,8.300000191,79.764,35.49616241,320.62
103,Colombia,2016,25.74361732,0.521,12.0,7633.389843000001,74.08377838,0.26694,55.48424911,8.68999958,80.108,34.51273155,349.69
104,Colombia,2017,25.01950323,0.511,12.0,7620.916172,73.67666626,0.24294000000000002,56.43402863,8.869999886,80.446,35.00444698,371.76
105,Costa Rica,2003,7.204519251000001,0.48200000000000004,11.0,6545.736721,52.01004028,0.36349000000000004,26.65769958,6.559999942999999,63.08,20.0,346.06
106,Costa Rica,2004,6.626974247000001,0.486,11.0,6730.831394,52.01004028,0.37451999999999996,26.65769958,6.389999866,64.388,21.95229721,238.25
107,Costa Rica,2005,7.817050223,0.47600000000000003,11.0,6892.92318,56.16020966,0.369005,26.65769958,6.570000172,65.672,18.167385100000004,380.9
108,Costa Rica,2006,8.077468213,0.489,11.0,7289.903923000001,55.815979000000006,0.42906000000000005,26.65769958,5.739999771,66.935,21.60269737,346.94
109,Costa Rica,2007,8.377555779,0.498,11.0,7779.324927,56.41199112,0.35841999999999996,26.65769958,4.489999771,68.17399999999999,23.2266674,312.08
110,Costa Rica,2008,11.471787800000001,0.491,11.0,8034.329922,58.01575851,0.38831,26.65769958,4.78000021,69.39,25.3130703,158.86
111,Costa Rica,2009,11.61314555,0.512,11.0,7854.952375,54.77516174,0.52028,26.65769958,7.7100000379999996,70.575,28.39571571,302.64
112,Costa Rica,2010,11.51315897,0.49200000000000005,11.0,8141.913127,54.11470032,0.48491999999999996,26.65769958,7.170000076,71.736,25.22531128,493.14
113,Costa Rica,2011,10.23076196,0.503,13.0,8390.479071,53.60002136,0.46781999999999996,45.81893921,10.14000034,72.868,24.79841995,514.03
114,Costa Rica,2012,8.681735059,0.504,13.0,8689.965168,58.53863144,0.55606,48.1085701,9.779999733,73.946,24.34549141,503.585
115,Costa Rica,2013,8.667026141000001,0.512,13.0,8785.741385,55.78985977,0.55567,49.006721500000005,8.770000458,74.97,22.45182037,295.3
116,Costa Rica,2014,9.947053316,0.505,13.0,8993.526001999999,58.765338899999996,0.57209,52.23117065,9.06000042,75.941,21.23574448,399.4425
117,Costa Rica,2015,11.48973608,0.496,13.0,9219.389701,59.00381088,0.44993,53.05263138,9.0,76.862,18.09414864,366.05
118,Costa Rica,2016,11.79751705,0.5,13.0,9509.738189,56.51549911,0.42926000000000003,53.63869858,8.600000381000001,77.735,19.66494656,115.79
119,Costa Rica,2017,12.18192893,0.496,13.0,9775.850878,59.9991684,0.42336,55.74573898,8.140000342999999,78.56,18.879547600000002,126.36
120,Croatia,2003,1.572144695,0.29,8.0,12466.9291,90.11454773,0.95034,40.77352142,13.92000008,53.979,32.5133667,240.28
121,Croatia,2004,1.893301295,0.29,8.0,12981.254420000001,90.11454773,1.03207,42.06106949,13.65999985,54.147,30.00990486,561.94
122,Croatia,2005,1.553197234,0.29,8.0,13523.130990000001,94.94718933,0.8568899999999999,44.76409149,12.60000038,54.315,31.70731735,440.84
123,Croatia,2006,1.6930608759999999,0.28,8.0,14195.040309999998,97.87799072,0.7408100000000001,45.585289,11.13000011,54.483000000000004,30.21132278,554.02
124,Croatia,2007,1.4212272209999999,0.28,8.0,14917.65129,97.19590759,0.79187,47.18769836,9.909999847,54.651,30.23310089,383.88
125,Croatia,2008,1.6311943169999998,0.29,8.0,15201.915790000001,98.8781662,0.88397,49.16419983,8.529999733,54.818999999999996,28.60160446,468.95
126,Croatia,2009,1.12870431,0.27,8.0,14103.40249,101.1332474,0.8432299999999999,48.7858696,9.199999809,54.986999999999995,24.78020859,361.24
127,Croatia,2010,1.4324783980000002,0.312,8.0,13949.3265,99.7040863,0.7422,54.02853012,11.61999989,55.155,23.05905151,415.095
128,Croatia,2011,1.136074348,0.309,8.0,13969.804890000001,102.13848879999999,0.75041,57.22782135,13.68000031,55.321999999999996,17.62391853,416.14
129,Croatia,2012,1.18718704,0.309,8.0,13677.420719999998,96.78730011,0.75029,60.64714813,15.93000031,55.506,16.17802048,490.01
130,Croatia,2013,1.075622581,0.302,8.0,13654.24544,99.462894455,0.81016,65.53488922,17.25,55.706,21.46139717,275.32
131,Croatia,2014,0.845960468,0.304,8.0,13663.16545,98.12509728250001,0.78252,67.51023102,17.29000092,55.923,21.57852745,315.87
132,Croatia,2015,0.8741105920000001,0.298,8.0,14111.25125,98.79399586875,0.8402700000000001,66.49102020000001,16.18000031,56.155,21.81981468,258.06
133,Croatia,2016,1.0454755740000001,0.299,8.0,14707.23695,93.08521271,0.8627,66.53237915,13.10000038,56.403,21.699171065,215.46
134,Croatia,2017,1.099729443,0.297,8.0,15396.801080000001,95.61271667,0.8645,67.86556244,11.21000004,56.667,21.7594928725,208.43
135,Cyprus,2003,1.4090716030000001,0.287,9.0,28530.934960000002,95.85645294,0.31834,31.9636097,4.139999866,68.553,15.59888554,278.62
136,Cyprus,2004,1.5835156030000002,0.287,9.0,29566.82945,98.73725891,0.33564,35.86368942,4.329999924,68.41,18.28193855,194.02
137,Cyprus,2005,1.9461746480000002,0.28800000000000003,10.0,30558.427539999997,99.84481812,0.36727,33.22082138,5.3000001910000005,68.268,16.73306847,490.51
138,Cyprus,2006,1.434709251,0.298,10.0,31469.461860000003,99.81640625,0.38345999999999997,33.41991043,4.539999962,68.125,17.12802887,423.94
139,Cyprus,2007,1.222139911,0.29,10.0,32377.071519999998,86.62770844,0.40007,36.17380905,3.9200000760000004,67.982,12.61425877,384.06
140,Cyprus,2008,0.8321252109999999,0.295,10.0,32725.63025,99.67532349,0.38600999999999996,42.61800003,3.650000095,67.839,18.09815979,371.86
141,Cyprus,2009,1.730278693,0.301,10.0,31216.76455,100.9840012,0.44442,52.00389099,5.360000134,67.695,18.16609001,375.13
142,Cyprus,2010,0.719025505,0.292,10.0,31023.63833,94.71144867,0.44663,48.31158066,6.260000229,67.551,21.85534477,240.03
143,Cyprus,2011,0.800115928,0.31,10.0,30363.51005,92.8713913,0.45553999999999994,46.53973007,7.860000134,67.406,21.70417976,365.11
144,Cyprus,2012,1.9382474369999998,0.324,10.0,28873.62583,95.61269379,0.43778,45.86359024,11.80000019,67.26100000000001,23.0088501,302.57
145,Cyprus,2013,1.04907393,0.348,10.0,27044.309110000002,96.59719849,0.48218,47.52524185,15.86999989,67.137,21.15732384,333.84000000000003
146,Cyprus,2014,0.954614999,0.336,10.0,26834.01157,100.85157009999999,0.50835,53.10435104,16.09000015,67.031,18.98496246,186.03
147,Cyprus,2015,1.292004131,0.321,10.0,27897.958169999998,97.61321259,0.48058999999999996,60.10123062,14.90999985,66.946,20.10968971,259.935
148,Cyprus,2016,1.110931653,0.308,10.0,29643.838819999997,98.34835052,0.53442,67.17111206,12.94999981,66.881,19.547326085,218.91
149,Cyprus,2017,0.593378741,0.29100000000000004,10.0,30650.244789999997,98.94191742,0.56092,75.94081116,11.05000019,66.836,19.828507897500003,219.12
150,Czechia,2003,1.5919319719999998,0.24600000000000002,9.0,16238.12794,91.58660889,1.14741,37.00822067,7.5399999620000004,73.74,18.5,197.99
151,Czechia,2004,1.308664806,0.26,9.0,17014.69462,91.829422,1.1455899999999999,43.73418045,8.210000037999999,73.671,17.82151222,391.23
152,Czechia,2005,1.052819876,0.253,9.0,18112.86754,91.95054626,1.16835,48.34936142,7.929999828,73.602,15.10270882,373.41
153,Czechia,2006,1.262306395,0.253,9.0,19286.25598,99.21669006,1.23173,50.13668823,7.150000095,73.533,12.91312313,367.24
154,Czechia,2007,1.216505665,0.247,9.0,20242.099280000002,94.09143066,1.3022799999999999,54.18236160000001,5.320000172,73.46300000000001,11.92529488,370.32500000000005
